"filename", "language", "C#", "XML", "JSON", "Properties", "comment", "blank", "total"
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\Client\SocketClient.cs", "C#", 126, 0, 0, 0, 14, 22, 162
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\Client\SocketClientBuilder.cs", "C#", 14, 0, 0, 0, 0, 4, 18
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\IOServer\Handler\ClientConnectHandler.cs", "C#", 40, 0, 0, 0, 23, 9, 72
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\IOServer\Handler\EchoClientHandler.cs", "C#", 31, 0, 0, 0, 10, 8, 49
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\IProcessor.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\ProcessorBase.cs", "C#", 29, 0, 0, 0, 0, 6, 35
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\Processor\CommonResponseProcessor.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\Processor\FriendRequestProcessor.cs", "C#", 4, 0, 0, 0, 0, 2, 6
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\Processor\FriendResponeseProcessor.cs", "C#", 3, 0, 0, 0, 0, 2, 5
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\Processor\HeartBeatProcessor.cs", "C#", 18, 0, 0, 0, 0, 2, 20
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\Processor\LogoutCommandProcessor.cs", "C#", 5, 0, 0, 0, 0, 2, 7
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\Processor\NewFriendMessageProcessor.cs", "C#", 3, 0, 0, 0, 0, 2, 5
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\Processor\UserMessageProcessor.cs", "C#", 5, 0, 0, 0, 0, 3, 8
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\ProtobufDispacher.cs", "C#", 86, 0, 0, 0, 34, 17, 137
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\bin\Debug\net8.0\ChatClient.Client.deps.json", "JSON", 0, 0, 954, 0, 0, 0, 954
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\bin\Release\net8.0\ChatClient.Client.deps.json", "JSON", 0, 0, 989, 0, 0, 0, 989
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\obj\ChatClient.Client.csproj.nuget.dgspec.json", "JSON", 0, 0, 253, 0, 0, 0, 253
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\obj\ChatClient.Client.csproj.nuget.g.props", "XML", 0, 23, 0, 0, 0, 0, 23
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\obj\ChatClient.Client.csproj.nuget.g.targets", "XML", 0, 12, 0, 0, 0, 0, 12
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\obj\Debug\net8.0\ChatClient.Client.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\obj\Debug\net8.0\ChatClient.Client.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 20, 0, 1, 21
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\obj\Debug\net8.0\ChatClient.Client.GlobalUsings.g.cs", "C#", 17, 0, 0, 0, 1, 1, 19
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\obj\Debug\net8.0\SocketClient.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\obj\Debug\net8.0\SocketClient.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\obj\Debug\net8.0\SocketClient.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\obj\Release\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\obj\Release\net8.0\ChatClient.Client.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\obj\Release\net8.0\ChatClient.Client.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 20, 0, 1, 21
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\obj\Release\net8.0\ChatClient.Client.GlobalUsings.g.cs", "C#", 17, 0, 0, 0, 1, 1, 19
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\obj\SocketClient.csproj.nuget.dgspec.json", "JSON", 0, 0, 94, 0, 0, 0, 94
"d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\obj\SocketClient.csproj.nuget.g.props", "XML", 0, 16, 0, 0, 0, 0, 16
